~id,~label,address:String,assetType:String,boatType:String,brand:String,carrier:String,companyName:String,companyType:String,country:String,createdDate:String,email:String,entityTypes:String,equipmentType:String,hullId:String,imei:String,jobCategory:String,jobName:String,lengthFt:Double,make:String,model:String,name:String,partId:String,partName:String,payerType:String,phone:String,phoneNumber:String,retailCost:Double,roNumber:String,rvClass:String,serialNumber:String,squareFeet:Int,status:String,statusDate:String,vin:String,website:String,year:Int,yearBuilt:Int,projectName:String,DepartmentNumber:String,DataClassification:String,Team:String,OwnerGroup:String,Recovery:String,Tier:String
entity_cu_1,Entity,"742 Elm St, Seattle, WA 98102",,,,,,,US,,david.ramirez@gmail.com,Customer,,,,,,,,,David Ramirez,,,,206-555-1001,,,,,,,,,,,,,,,,,,,
entity_cu_2,Entity,"1085 Pine St Apt 4B, Seattle, WA 98101",,,,,,,US,,sarah.kim@outlook.com,Customer,,,,,,,,,Sarah Kim,,,,206-555-1002,,,,,,,,,,,,,,,,,,,
entity_cu_3,Entity,"3300 Industrial Blvd, Tacoma, WA 98421",,,,,Brooks Fleet Services,,US,,mbrooks@brooksfleet.com,Customer,,,,,,,,,Michael Brooks,,,,253-555-1003,,,,,,,,,,https://www.brooksfleet.com,,,,,,,,,
entity_cu_4,Entity,"221 Baker St NW, Olympia, WA 98502",,,,,,,US,,jmoore84@yahoo.com,Customer,,,,,,,,,Jessica Moore,,,,360-555-1004,,,,,,,,,,,,,,,,,,,
entity_cu_5,Entity,"5678 Greenwood Ave N, Seattle, WA 98103",,,,,Diaz Landscaping,,US,,robert@diazlandscaping.com,Customer,,,,,,,,,Robert Diaz,,,,206-555-1005,,,,,,,,,,https://www.diazlandscaping.com,,,,,,,,,
entity_cu_6,Entity,"890 Mercer Island Way, Mercer Island, WA 98040",,,,,,,US,,amanda.lewis@icloud.com,Customer,,,,,,,,,Amanda Lewis,,,,206-555-1006,,,,,,,,,,,,,,,,,,,
entity_cu_7,Entity,"4100 E Marginal Way S, Seattle, WA 98134",,,,,Grant Construction LLC,,US,,sgrant@grantconstruction.com,Customer,,,,,,,,,Steven Grant,,,,206-555-1007,,,,,,,,,,https://www.grantconstruction.com,,,,,,,,,
entity_cu_8,Entity,"1920 Alki Ave SW, Seattle, WA 98116",,,,,,,US,,daniel.ortiz@protonmail.com,Customer,,,,,,,,,Daniel Ortiz,,,,206-555-1008,,,,,,,,,,,,,,,,,,,
entity_cu_9,Entity,"123 Main St, Seattle, WA 98101",,,,,,,US,,tyler.young@gmail.com,Customer,,,,,,,,,Tyler Young,,,,206-555-1009,,,,,,,,,,,,,,,,,,,
entity_cu_10,Entity,"7700 Seaview Ave NW, Seattle, WA 98117",,,,,Chen Marine Group,,US,,karen@chenmarine.com,Customer,,,,,,,,,Karen Chen,,,,206-555-1010,,,,,,,,,,https://www.chenmarine.com,,,,,,,,,
entity_cu_11,Entity,"456 Lakeview Dr, Bellevue, WA 98004",,,,,,,US,,james.nakamura@hotmail.com,Customer,,,,,,,,,James Nakamura,,,,425-555-1011,,,,,,,,,,,,,,,,,,,
entity_cu_12,Entity,"2250 Mountain Loop Hwy, Granite Falls, WA 98252",,,,,Gonzalez Outdoor Adventures,,US,,maria@gonzalezoutdoors.com,Customer,,,,,,,,,Maria Gonzalez,,,,360-555-1012,,,,,,,,,,https://www.gonzalezoutdoors.com,,,,,,,,,
entity_es_1,Entity,"310 Eastlake Ave E, Seattle, WA 98109",,,,,,,US,,sarah.mitchell@elitecollision.com,Estimator,,,,,,,,,Sarah Mitchell,,,,206-555-2001,,,,,,,,,,,,,,,,,,,
entity_es_2,Entity,"805 Madison St, Seattle, WA 98104",,,,,,,US,,mark.benson@metroautobody.com,Estimator,,,,,,,,,Mark Benson,,,,206-555-2002,,,,,,,,,,,,,,,,,,,
entity_es_3,Entity,"4402 S Yakima Ave, Tacoma, WA 98418",,,,,,,US,,lisa.tran@evergreenrebuild.com,Estimator,,,,,,,,,Lisa Tran,,,,253-555-2003,,,,,,,,,,,,,,,,,,,
entity_es_4,Entity,"1501 E Olive Way, Seattle, WA 98122",,,,,,,US,,tony.alvarez@rainiercollision.com,Estimator,,,,,,,,,Tony Alvarez,,,,206-555-2004,,,,,,,,,,,,,,,,,,,
entity_es_5,Entity,"225 Cedar St, Everett, WA 98201",,,,,,,US,,hannah.lee@cascadeautoworks.com,Estimator,,,,,,,,,Hannah Lee,,,,425-555-2005,,,,,,,,,,,,,,,,,,,
entity_es_6,Entity,"1900 N 145th St, Shoreline, WA 98133",,,,,,,US,,derek.shaw@soundviewcollision.com,Estimator,,,,,,,,,Derek Shaw,,,,206-555-2006,,,,,,,,,,,,,,,,,,,
entity_es_7,Entity,"422 Yale Ave N, Seattle, WA 98109",,,,,,,US,,brian.cole@apexautorepair.com,Estimator,,,,,,,,,Brian Cole,,,,206-555-2007,,,,,,,,,,,,,,,,,,,
entity_es_8,Entity,"3015 W Government Way, Seattle, WA 98199",,,,,,,US,,emily.park@harborautobody.com,Estimator,,,,,,,,,Emily Park,,,,206-555-2008,,,,,,,,,,,,,,,,,,,
entity_es_9,Entity,"780 Dayton St, Edmonds, WA 98020",,,,,,,US,,carlos.medina@nwautorest.com,Estimator,,,,,,,,,Carlos Medina,,,,425-555-2009,,,,,,,,,,,,,,,,,,,
entity_es_10,Entity,"2800 NW Market St, Seattle, WA 98107",,,,,,,US,,rachel.adams@pacificrimcollision.com,Estimator,,,,,,,,,Rachel Adams,,,,206-555-2010,,,,,,,,,,,,,,,,,,,
entity_jb_1,Entity,"6100 4th Ave S, Seattle, WA 98108",,,,,Northwest PPF Solutions,,US,,orders@nwppf.com,Jobber,,,,,,,,,,,,,206-555-3001,,,,,,,,,,https://www.nwppf.com,,,,,,,,,
entity_jb_2,Entity,"3455 Carillon Point, Kirkland, WA 98033",,,,,Precision Film Installers,,US,,sales@precisionfilm.com,Jobber,,,,,,,,,,,,,425-555-3002,,,,,,,,,,https://www.precisionfilm.com,,,,,,,,,
entity_jb_3,Entity,"11020 E Montgomery Dr, Spokane, WA 99206",,,,,ArmorShield Films,,US,,info@armorshieldfilms.com,Jobber,,,,,,,,,,,,,509-555-3003,,,,,,,,,,https://www.armorshieldfilms.com,,,,,,,,,
entity_jb_4,Entity,"820 W 1st Ave, Vancouver, BC V5Y 3N3",,,,,ClearGuard Pro,,CA,,support@clearguardpro.ca,Jobber,,,,,,,,,,,,,604-555-3004,,,,,,,,,,https://www.clearguardpro.ca,,,,,,,,,
entity_jb_5,Entity,"2900 SE Powell Blvd, Portland, OR 97202",,,,,Summit PPF Supply,,US,,orders@summitppf.com,Jobber,,,,,,,,,,,,,503-555-3005,,,,,,,,,,https://www.summitppf.com,,,,,,,,,
entity_mr_1,Entity,"1650 Harbor Ave SW, Seattle, WA 98126",,,,,ProTech Film & Install,PPFInstaller,US,,info@protechfilm.com,Jobber;Company,,,,,,,,,,,,,206-555-3006,,,,,,,,,,https://www.protechfilm.com,,,,,,,,,
asset_v_1,Asset,,Vehicle,,,,,,,,,,,,,,,,Ford,F-150 Lightning,,,,,,,,,,,,,,1FTVW1EL2PWG12345,,2024,,,,,,,,
asset_v_2,Asset,,Vehicle,,,,,,,,,,,,,,,,Tesla,Model Y,,,,,,,,,,,,,,5YJYGDEE7PF123456,,2023,,,,,,,,
asset_v_3,Asset,,Vehicle,,,,,,,,,,,,,,,,BMW,X5,,,,,,,,,,,,,,5UXCR6C05N9F12345,,2022,,,,,,,,
asset_v_4,Asset,,Vehicle,,,,,,,,,,,,,,,,Toyota,Tacoma,,,,,,,,,,,,,,3TMCZ5AN5MM123456,,2021,,,,,,,,
asset_v_5,Asset,,Vehicle,,,,,,,,,,,,,,,,Chevrolet,Silverado,,,,,,,,,,,,,,1GCUDDED8RZ123456,,2024,,,,,,,,
asset_v_6,Asset,,Vehicle,,,,,,,,,,,,,,,,Subaru,Outback,,,,,,,,,,,,,,4S4BTACC5P3123456,,2023,,,,,,,,
asset_v_7,Asset,,Vehicle,,,,,,,,,,,,,,,,Honda,CR-V,,,,,,,,,,,,,,2HKRS4H59NH123456,,2022,,,,,,,,
asset_v_8,Asset,,Vehicle,,,,,,,,,,,,,,,,Rivian,R1T,,,,,,,,,,,,,,7FCTGAAA1SN123456,,2025,,,,,,,,
asset_v_9,Asset,,Vehicle,,,,,,,,,,,,,,,,Audi,Q7,,,,,,,,,,,,,,WA1LJAF74ND123456,,2022,,,,,,,,
asset_v_10,Asset,,Vehicle,,,,,,,,,,,,,,,,Jeep,Wrangler,,,,,,,,,,,,,,1C4HJXDN1MW123456,,2021,,,,,,,,
asset_v_11,Asset,,Vehicle,,,,,,,,,,,,,,,,BMW,iX,,,,,,,,,,,,,,WBY73AW09R7123456,,2024,,,,,,,,
asset_v_12,Asset,,Vehicle,,,,,,,,,,,,,,,,Tesla,Model 3,,,,,,,,,,,,,,5YJ3E1EA8RF123456,,2024,,,,,,,,
asset_b_1,Asset,,Boat,Center Console,,,,,,,,,,BWCE2201J425,,,,25,Boston Whaler,Outrage 250,,,,,,,,,,,,,,,,2024,,,,,,,,
asset_b_2,Asset,,Boat,Cruiser,,,,,,,,,,SERV7821K324,,,,32,Sea Ray,Sundancer 320,,,,,,,,,,,,,,,,2023,,,,,,,,
asset_js_1,Asset,,JetSki,,,,,,,,,,,KAW44281H223,,,,,Kawasaki,Ultra 310X,,,,,,,,,,,,,,,,2023,,,,,,,,
asset_js_2,Asset,,JetSki,,,,,,,,,,,YDV14592F324,,,,,Yamaha,FX Cruiser SVHO,,,,,,,,,,,,,,,,2024,,,,,,,,
asset_cm_1,Asset,,Camper,,,,,,,,,,,,,,,20,Airstream,Basecamp 20X,,,,,,,,,,,,,,1STTBBLM3NJ123456,,2022,,,,,,,,
asset_rv_1,Asset,,RV,,,,,,,,,,,,,,,25,Winnebago,View 24D,,,,,,,,,C,,,,,5B4MP67GX83123456,,2023,,,,,,,,
asset_ph_1,Asset,,Phone,,Apple,Verizon,,,,,,,,,353456789012345,,,,,iPhone 16 Pro,,,,,,206-555-0147,,,,,,,,,,,,,,,,,,
asset_eq_1,Asset,,Equipment,,DeWalt,,,,,,,,Power Tool,,,,,,,DCD999B,,,,,,,,,,SN-DW4492810,,,,,,,,,,,,,,
asset_hm_1,Asset,"123 Main St, Seattle, WA 98101",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,1985,,,,,,,
job_1,Job,,,,,,,,,2026-02-12,,,,,,PPF,Front Bumper PPF Replacement,,,,,,,Insurance,,,,RO-102938,,,,Draft,2026-02-12,,,,,,,,,,,
job_2,Job,,,,,,,,,2026-02-14,,,,,,PPF,Hood PPF Install,,,,,,,Insurance,,,,RO-102939,,,,Approved,2026-02-15,,,,,,,,,,,
job_3,Job,,,,,,,,,2026-02-15,,,,,,PPF,Mirror Cap Replacement,,,,,,,Insurance,,,,RO-204811,,,,Scheduled,2026-02-16,,,,,,,,,,,
job_4,Job,,,,,,,,,2026-02-10,,,,,,PPF,Front Fender PPF,,,,,,,Insurance,,,,RO-330112,,,,Approved,2026-02-11,,,,,,,,,,,
job_5,Job,,,,,,,,,2026-02-13,,,,,,PPF,Full Hood PPF,,,,,,,Insurance,,,,RO-778201,,,,Scheduled,2026-02-15,,,,,,,,,,,
job_6,Job,,,,,,,,,2026-02-16,,,,,,PPF,Door Edge Protection,,,,,,,Customer,,,,RO-550921,,,,Scheduled,2026-02-16,,,,,,,,,,,
job_7,Job,,,,,,,,,2026-02-17,,,,,,PPF,Partial Hood PPF,,,,,,,Customer,,,,RO-550922,,,,Draft,2026-02-17,,,,,,,,,,,
job_8,Job,,,,,,,,,2026-02-12,,,,,,PPF,Rocker Panel Protection,,,,,,,Insurance,,,,RO-667410,,,,Approved,2026-02-13,,,,,,,,,,,
job_9,Job,,,,,,,,,2026-02-18,,,,,,PPF,Front Clip Protection,,,,,,,Insurance,,,,RO-990441,,,,Draft,2026-02-18,,,,,,,,,,,
job_10,Job,,,,,,,,,2026-02-11,,,,,,PPF,Mirror Cap PPF,,,,,,,Customer,,,,RO-441288,,,,Scheduled,2026-02-12,,,,,,,,,,,
job_11,Job,,,,,,,,,2026-02-09,,,,,,PPF,Front Bumper PPF,,,,,,,Insurance,,,,RO-884220,,,,Approved,2026-02-10,,,,,,,,,,,
job_12,Job,,,,,,,,,2026-02-20,,,,,,PPF,Full Front PPF,,,,,,,Insurance,,,,RO-112501,,,,Draft,2026-02-20,,,,,,,,,,,
job_13,Job,,,,,,,,,2026-02-21,,,,,,PPF,Rear Bumper PPF,,,,,,,Customer,,,,RO-112502,,,,Draft,2026-02-21,,,,,,,,,,,
job_14,Job,,,,,,,,,2026-02-19,,,,,,PPF,Boat Hull Protection,,,,,,,Customer,,,,RO-334401,,,,Approved,2026-02-20,,,,,,,,,,,
job_15,Job,,,,,,,,,2026-02-22,,,,,,PPF,JetSki Nose Guard,,,,,,,Customer,,,,RO-334402,,,,Scheduled,2026-02-23,,,,,,,,,,,
part_1,Part,,,,,,,,,,,,,,,,,,,,,jb1_front_bumper,Front Bumper,,,,950,,,,,,,,,,,,,,,,,
part_2,Part,,,,,,,,,,,,,,,,,,,,,jb1_hood,Hood,,,,780,,,,,,,,,,,,,,,,,
part_3,Part,,,,,,,,,,,,,,,,,,,,,jb1_left_headlight,Left Headlight,,,,200,,,,,,,,,,,,,,,,,
part_4,Part,,,,,,,,,,,,,,,,,,,,,jb1_right_headlight,Right Headlight,,,,210,,,,,,,,,,,,,,,,,
part_5,Part,,,,,,,,,,,,,,,,,,,,,jb1_left_fender,Left Fender,,,,480,,,,,,,,,,,,,,,,,
part_6,Part,,,,,,,,,,,,,,,,,,,,,jb2_left_mirror_cap,Left Mirror Cap,,,,180,,,,,,,,,,,,,,,,,
part_7,Part,,,,,,,,,,,,,,,,,,,,,jb2_right_mirror_cap,Right Mirror Cap,,,,180,,,,,,,,,,,,,,,,,
part_8,Part,,,,,,,,,,,,,,,,,,,,,jb2_door_edge_kit,Door Edge Kit,,,,150,,,,,,,,,,,,,,,,,
part_9,Part,,,,,,,,,,,,,,,,,,,,,jb2_hood,Hood,,,,450,,,,,,,,,,,,,,,,,
part_10,Part,,,,,,,,,,,,,,,,,,,,,jb3_left_fender,Left Fender,,,,420,,,,,,,,,,,,,,,,,
part_11,Part,,,,,,,,,,,,,,,,,,,,,jb3_right_fender,Right Fender,,,,420,,,,,,,,,,,,,,,,,
part_12,Part,,,,,,,,,,,,,,,,,,,,,jb3_left_rocker_panel,Left Rocker Panel,,,,310,,,,,,,,,,,,,,,,,
part_13,Part,,,,,,,,,,,,,,,,,,,,,jb3_right_rocker_panel,Right Rocker Panel,,,,310,,,,,,,,,,,,,,,,,
part_14,Part,,,,,,,,,,,,,,,,,,,,,jb3_front_bumper,Front Bumper,,,,880,,,,,,,,,,,,,,,,,
part_15,Part,,,,,,,,,,,,,,,,,,,,,jb3_left_headlight,Left Headlight,,,,210,,,,,,,,,,,,,,,,,
part_16,Part,,,,,,,,,,,,,,,,,,,,,jb1_right_fender,Right Fender,,,,480,,,,,,,,,,,,,,,,,
part_17,Part,,,,,,,,,,,,,,,,,,,,,jb4_full_front_kit,Full Front Kit,,,,2400,,,,,,,,,,,,,,,,,
part_18,Part,,,,,,,,,,,,,,,,,,,,,jb4_rear_bumper,Rear Bumper,,,,650,,,,,,,,,,,,,,,,,
part_19,Part,,,,,,,,,,,,,,,,,,,,,jb5_boat_hull_film,Boat Hull Film (per ft),,,,85,,,,,,,,,,,,,,,,,
part_20,Part,,,,,,,,,,,,,,,,,,,,,jb5_jetski_nose_guard,JetSki Nose Guard,,,,350,,,,,,,,,,,,,,,,,
project_data_1,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alpha Initiative,D-1001,Internal,Platform Engineering,IT Operations,Standard,1
project_data_2,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beta Analytics,D-2042,Confidential,Data Science,Analytics Group,Critical,2
project_data_3,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloud Migration Phase 2,D-3010,Confidential,Cloud Infrastructure,IT Operations,Critical,1
project_data_4,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Lake Implementation,D-2042,Restricted,Data Engineering,Analytics Group,Critical,1
project_data_5,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer Portal Redesign,D-4100,Internal,Frontend Development,Application Development,Standard,2
project_data_6,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zero Trust Network Rollout,D-5005,Restricted,Security Engineering,Security,Critical,1
project_data_7,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile App Modernization,D-4100,Internal,Mobile Team,Application Development,Standard,2
project_data_8,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERP System Upgrade,D-6001,Confidential,Enterprise Systems,IT Operations,Priority,1
project_data_9,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DevOps Pipeline Automation,D-3010,Internal,DevOps,Cloud Infrastructure,Standard,2
project_data_10,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fraud Detection Engine,D-2042,Restricted,Data Science,Analytics Group,Critical,1
project_data_11,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legacy Database Migration,D-6001,Confidential,Database Administration,IT Operations,Priority,1
project_data_12,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI Chatbot Integration,D-7200,Internal,AI/ML Team,Innovation Lab,Standard,3
project_data_13,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Recovery Overhaul,D-5005,Restricted,Infrastructure,Security,Critical,1
project_data_14,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vendor Management Portal,D-8030,Internal,Procurement Tech,Finance,Standard,3
project_data_15,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real-Time Analytics Dashboard,D-2042,Confidential,Data Science,Analytics Group,Priority,2
project_data_16,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOC 2 Compliance Automation,D-5005,Restricted,Compliance Engineering,Security,Critical,1
project_data_17,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kubernetes Cluster Expansion,D-3010,Internal,Cloud Infrastructure,IT Operations,Standard,2
project_data_18,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employee Onboarding App,D-9010,Public,HR Technology,Human Resources,Best Effort,4
project_data_19,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API Gateway Consolidation,D-3010,Confidential,Platform Engineering,Cloud Infrastructure,Priority,2
project_data_20,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supply Chain Visibility Tool,D-8030,Internal,Logistics Tech,Operations,Standard,3
project_data_21,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observability Platform Build,D-3010,Internal,DevOps,Cloud Infrastructure,Priority,2
project_data_22,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI DSS Remediation,D-5005,Restricted,Security Engineering,Security,Critical,1
project_data_23,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Identity Access Management Refactor,D-5005,Restricted,Security Engineering,Security,Critical,1
project_data_24,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warehouse Inventory System,D-8030,Internal,Logistics Tech,Operations,Standard,3
project_data_25,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Governance Framework,D-2042,Confidential,Data Engineering,Analytics Group,Priority,2
project_data_26,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multi-Region Failover Setup,D-3010,Restricted,Cloud Infrastructure,IT Operations,Critical,1
project_data_27,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer 360 Data Hub,D-2042,Confidential,Data Science,Analytics Group,Priority,1
project_data_28,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Signature Service,D-5005,Restricted,Security Engineering,Security,Priority,2
project_data_29,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal Knowledge Base,D-9010,Public,HR Technology,Human Resources,Best Effort,4
project_data_30,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated Invoice Processing,D-8030,Confidential,Procurement Tech,Finance,Standard,3
project_data_31,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge Computing Rollout,D-3010,Internal,Cloud Infrastructure,IT Operations,Priority,2
project_data_32,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Predictive Maintenance Engine,D-7200,Confidential,AI/ML Team,Innovation Lab,Standard,2
project_data_33,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sales Forecasting Model,D-2042,Confidential,Data Science,Analytics Group,Standard,3
project_data_34,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CI/CD Security Scanning,D-5005,Restricted,DevSecOps,Security,Critical,1
project_data_35,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GraphQL API Standardization,D-4100,Internal,Platform Engineering,Application Development,Standard,2
project_data_36,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning Management System,D-9010,Public,HR Technology,Human Resources,Best Effort,4
project_data_37,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Segmentation Project,D-5005,Restricted,Network Engineering,Security,Critical,1
project_data_38,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microservices Decomposition,D-4100,Internal,Backend Engineering,Application Development,Priority,2
project_data_39,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cost Optimization Dashboard,D-3010,Internal,FinOps,Cloud Infrastructure,Standard,3
project_data_40,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract Lifecycle Management,D-8030,Confidential,Procurement Tech,Finance,Standard,3
project_data_41,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voice of Customer Analytics,D-2042,Confidential,Data Science,Analytics Group,Standard,2
project_data_42,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incident Response Automation,D-5005,Restricted,Security Engineering,Security,Critical,1
project_data_43,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terraform State Consolidation,D-3010,Internal,DevOps,Cloud Infrastructure,Standard,2
project_data_44,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Product Recommendation Engine,D-7200,Confidential,AI/ML Team,Innovation Lab,Priority,2
project_data_45,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Sign-On Migration,D-5005,Restricted,Identity Team,Security,Priority,1
project_data_46,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fleet Tracking Dashboard,D-8030,Internal,Logistics Tech,Operations,Standard,3
project_data_47,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Compliance Reporting Suite,D-5005,Confidential,Compliance Engineering,Security,Priority,2
project_data_48,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Service Mesh Implementation,D-3010,Internal,Cloud Infrastructure,IT Operations,Standard,2
project_data_49,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer Churn Predictor,D-2042,Confidential,Data Science,Analytics Group,Standard,2
project_data_50,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budget Planning Application,D-6001,Confidential,Enterprise Systems,Finance,Priority,2
project_data_51,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacity Planning Tool,D-3010,Internal,Cloud Infrastructure,IT Operations,Standard,2
project_data_52,Project_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Document Classification AI,D-7200,Restricted,AI/ML Team,Innovation Lab,Priority,2
